iter	Passed	Remaining
0	51	51678
1	51	25888
2	88	29386
3	88	22138
4	89	17787
5	89	14882
6	90	12804
7	90	1128	97	10682
9	99	119	11855
10	120	10817
11	121	9969
12	123	9410
13	124	8780
14	171	11257
15	171	10566
16	172	9957
17	172	919	194	9549
20	195	9107
21	196	8721
22	196	8352
23	197	8014
24	211	8239
25	213	7981
26	214	7727
27	214	7453
28	258	8652
29	259	8379
30	259	8114
31	290	8781
32	290	8517
33	291	8268
34	295	8144
35	308	8273
3636	305	7949
37	306	7770
338	330	8146
39	331	7944
40	368	8628
41	369	8435
42	370	8240
43	371	8064
44	371	7894
45	373	775146	391	7932
447	407	8087
48	408	7933
49	409	7788
50	410	7646
51	411	7498
52	411	7361
53	412	722854	400	6875
55	411	6942
56	413	6844
57	414	6735
58	415	6631
59	425	6666
60	426	6569
61	427	6466
62	466	6934
63	466	6827
64	467	6728
65	468	6626
66	469	6533
67	469	6437
68	470	6345
69	470	6255
70	472	6176
71	475	6128
72	477	6059
73	478	5985
74	503	6212
75	504	6130
76	504	6050
77	505	5973
78	505	5898
79	506	5828
80	507	5755
81	531	5944
82	531	5871
83	532	5808
84	573	6178
85	575	6115
86	576	6049
87	578	5993
88	578	5923
89	579	5856
90	602	6015
91	602	5950
92	604	5891
93	605	5832
94	605	5770
95	606	5712
96	607	5651
97	607	5593
98	608	5534
99	608	5477
100	609	5422
101	611	5380
102	611	5329
103	612	5275
104	613	5229
105	614	5186
106	616	5145
107	671	5542
108	672	5497
109	673	5452
110	674	5403
111	675	5355
112	675	5306
113	676	5257
114	676	5208
115	677	5161
116	677	5114
117	678	5068
118	678	5022
119	678	4978
120	751	5462
121	754	5426
122	754	5379
123	755	5334
124	756	5293
125	784	5439
126	784	5394
127	785	5353
128	786	5313
129	787	5269
130	788	5229
131	788	5186
132	789	5143
133	790	5108
134	792	5076
135	793	5041
136	794	5001
137	794	4962
138	795	4925
139	825	5068
140	825	5029
141	826	4993
142	827	4958
143	827	4921
144	828	4885
145	828	4848
146	831	4823
1147	798	4597148	893	5104
1149	832	4716150	897	5044
151	897	5008
152	898	4972
153	898	4937
154	899	4902
1155	901	4877
156	902	4845
157	902	4811
158	903	4779
159	904	4747
160	905	4719
161	906	4688
162	907	4660
163	910	4639
164	910	4607
165	911	4577
166	914	4560
167	914	4530
168	915	4500
169	915	4470
170	916	4441
171	916	4412
172	917	4384
173	970	4608
174	971	4578
175	971	4549
176	972	4519
177	974	4498
178	974	4469
179	974	4441
180	975	4413
181	975	4386
182	976	4359
183	976	4332
184	977	4305
185	978	4280
186	978	4254
187	978	4228
188	979	4202
189	1047	4466
190	1056	4474
191	1056	4447
192	1057	4421
193	1057	4394
194	1058	4368
195	1058	4342
196	1059	4318
197	1060	4294
198	1061	4272
199	1061	4247
200	1062	4223
201	1062	4198
202	1063	4175
203	1064	4151
204	1108	4298
205	1127	4344
206	1127	4319
207	1128	4298
208	1129	4273
209	1129	4249
210	1130	4225
211	1130	4202
212	1131	4180
213	1131	4156
214	1132	4133
215	1132	4110
216	1132	4088
217	1133	4065
218	1133	4043
219	1173	4158
220	1173	4136
221	1179	4132
222	1179	4109
223	1179	4087
224	1180	4065
225	1180	4044
226	1181	4022
227	1181	4001
228	1209	4071
229	1212	4059
230	1212	4037
231	1216	4026
232	1216	4005
233	1217	3984
234	1217	3964
235	1218	3943
236	1218	3923
237	1219	3902
238	1219	3882
